Order_listened,Title,Artist,Duration_in_milliseconds
159,Forsaken Child of Ancient Times (Dvalin's Nest),Yu-Peng Chen,7100
160,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,6520
161,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,3640
162,traitor,Olivia Rodrigo,2474
163,enough for you,Olivia Rodrigo,202826
164,happier,Olivia Rodrigo,64245
165,last cup of coffee,LilyPichu,164
166,that friend,Mad Tsai,180903
167,that friend,Mad Tsai,58986
168,Best Part (feat. H.E.R.),Daniel Caesar,142229
169,Fall of Maples,Yu-Peng Chen,2090
170,The Land of Her Serenity,Yu-Peng Chen,2645
171,Separated Dream,Yu-Peng Chen,1621
172,Inazuma,Yu-Peng Chen,1088
173,Streets of Elegance,Yu-Peng Chen,1194
174,Lingering Blossom,Yu-Peng Chen,1770
175,Sigh of an Old Friend,Yu-Peng Chen,2858
176,Blue Dream,Yu-Peng Chen,2368
177,Everlasting Devotion,Yu-Peng Chen,2474
178,Kitsune's Mask,Yu-Peng Chen,4416
179,Hanachirusato,Yu-Peng Chen,1834
180,Island for Outlanders,Yu-Peng Chen,5994
181,Flickering Sakura,Yu-Peng Chen,5418
182,The Mysterious Islands,Yu-Peng Chen,5226
183,Dream of Homeland,Yu-Peng Chen,2154
184,The Sealed Harbor,Yu-Peng Chen,4906
185,In the Strange Realm of Sakura,Yu-Peng Chen,3648
186,Sakura-Scented Kiseru,Yu-Peng Chen,3861
187,Thoughts of Lightning,Yu-Peng Chen,3818
188,Time to Say Farewell,Yu-Peng Chen,1834
189,Her Legacy,Yu-Peng Chen,4437
190,Dream of Scattered Petals,Yu-Peng Chen,1834
191,Interwoven Nostalgia,Yu-Peng Chen,2325
192,Where the Shirasagi Dances,Yu-Peng Chen,2517
193,Preparation of Matsuri,Yu-Peng Chen,2261
194,A Harmonious Rest,Yu-Peng Chen,2453
195,Shirasagi's Demeanor,Yu-Peng Chen,3775
196,Silent Testimony,Yu-Peng Chen,4800
197,Remaining Tenderness,Yu-Peng Chen,2666
198,Scarred Island,Yu-Peng Chen,8298
199,Murmuring Creek,Yu-Peng Chen,2858
200,Island of Hanabi,Yu-Peng Chen,2645
201,Hakushin's Lullaby,Yu-Peng Chen,3861
202,Where the Heart Settles,Yu-Peng Chen,4010
203,Soul of Soulless Conditions,Yu-Peng Chen,2410
204,A Night Watch,Yu-Peng Chen,4288
205,Valor & Prowess,Yu-Peng Chen,2431
206,Miko's Night,Yu-Peng Chen,1920
207,Samurai's Sorrow,Yu-Peng Chen,1941
208,Shadow of War,Yu-Peng Chen,1386
209,Ones Who Strive to Live,Yu-Peng Chen,8746
210,Nothing but Ivy,Yu-Peng Chen,1813
211,The Lost Mound,Yu-Peng Chen,10389
212,Fortification of Resistance,Yu-Peng Chen,1813
213,Dirge of the Soundless,Yu-Peng Chen,2112
214,Unwavering March,Yu-Peng Chen,3562
215,Another Conflict Incoming,Yu-Peng Chen,2687
216,Resounding of Silence,Yu-Peng Chen,8405
217,Caress of the Spirit,Yu-Peng Chen,8810
218,You Shall Not Tempt It,Yu-Peng Chen,12330
219,Orobashi's Teaching,Yu-Peng Chen,2858
220,Serpent's Tragedy,Yu-Peng Chen,2901
221,Overlord of the Thunderstorm,Yu-Peng Chen,5674
222,Stranded Wish,Yu-Peng Chen,4373
223,Whispering Tatarigami,Yu-Peng Chen,5034
224,Forgotten Epic,Yu-Peng Chen,2560
225,A Hollowed Skull,Yu-Peng Chen,4074
226,Against the Invisible Net,Yu-Peng Chen,1557
227,Busy Silhouettes,Yu-Peng Chen,2666
228,Embrace of Sea Waves,Yu-Peng Chen,2602
229,Duel in the Mist,Yu-Peng Chen,1706
230,Fiery Pursuit,Yu-Peng Chen,2090
231,Ripples of Daydream,Yu-Peng Chen,83377
232,Tender Strength,Yu-Peng Chen,82755
233,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,199354
234,Moonlike Smile,Yu-Peng Chen,77958
235,Reminiscence - Genshin Impact Main Theme Var.,Yu-Peng Chen,95000
236,A Transparent Moon (Liuli Pavilion),Yu-Peng Chen,58286
237,Say My Name,Yu-Peng Chen,111935
238,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,101554
239,Snow-Buried Tales,Yu-Peng Chen,91984
240,Lovers' Oath,Yu-Peng Chen,79610
241,Dusk in Mondstadt,Yu-Peng Chen,108770
242,Vast and Blue,Yu-Peng Chen,142934
243,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",Yu-Peng Chen,59655
244,Moonlike Smile,Yu-Peng Chen,1578
245,Unfinished Frescoes,Yu-Peng Chen,789
246,Ripples of Daydream,Yu-Peng Chen,1950
247,Snow-Buried Tales,Yu-Peng Chen,4481
248,Once-Colored Memories,Yu-Peng Chen,3250
249,Remembrance - Genshin Impact Main Theme Var.,Yu-Peng Chen,2739
250,Tender Strength,Yu-Peng Chen,5131
251,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,3668
252,[Theme Song] Wu Ji - Chorus Edition,Xiao Zhan,121514
253,Hanachirusato,Yu-Peng Chen,94066
254,Say My Name,Yu-Peng Chen,111935
255,Moonlike Smile,Yu-Peng Chen,77958
256,Tender Strength,Yu-Peng Chen,82755
257,Another Hopeful Tomorrow,Yu-Peng Chen,85783
258,Ripples of Daydream,Yu-Peng Chen,83377
259,Vast and Blue,Yu-Peng Chen,12674
260,Tender Strength,Yu-Peng Chen,9749
261,Fiery Pursuit,Yu-Peng Chen,1557
262,Orobashi's Teaching,Yu-Peng Chen,2496
263,Serpent's Tragedy,Yu-Peng Chen,3157
264,Overlord of the Thunderstorm,Yu-Peng Chen,2176
265,Stranded Wish,Yu-Peng Chen,1429
266,Caress of the Spirit,Yu-Peng Chen,10005
267,Whispering Tatarigami,Yu-Peng Chen,2431
268,Forgotten Epic,Yu-Peng Chen,2538
269,A Hollowed Skull,Yu-Peng Chen,981
270,Against the Invisible Net,Yu-Peng Chen,2261
271,Busy Silhouettes,Yu-Peng Chen,6911
272,Embrace of Sea Waves,Yu-Peng Chen,4266
273,Duel in the Mist,Yu-Peng Chen,1237
274,All I Want for Christmas Is You,Mariah Carey,6016
275,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,199354
276,Duel in the Mist,Yu-Peng Chen,14118
277,Moonlike Smile,Yu-Peng Chen,77958
278,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",Yu-Peng Chen,204268
279,Fragile Fantasy,Yu-Peng Chen,120900
280,Reminiscence - Genshin Impact Main Theme Var.,Yu-Peng Chen,95000
281,Dusk in Mondstadt,Yu-Peng Chen,108770
282,Another Hopeful Tomorrow,Yu-Peng Chen,85783
283,Hanachirusato,Yu-Peng Chen,94066
284,A New Day with Hope,Yu-Peng Chen,103237
285,Forsaken Child of Ancient Times (Dvalin's Nest),Yu-Peng Chen,175000
286,Say My Name,Yu-Peng Chen,111935
287,A Transparent Moon (Liuli Pavilion),Yu-Peng Chen,58286
288,Lovers' Oath,Yu-Peng Chen,79610
289,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,199354
290,Vast and Blue,Yu-Peng Chen,142934
291,Snow-Buried Tales,Yu-Peng Chen,91984
292,Tender Strength,Yu-Peng Chen,82755
293,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,101554
294,Ripples of Daydream,Yu-Peng Chen,83377
295,Once-Colored Memories,Yu-Peng Chen,61998
296,Gion2,HOYO-MiX,72703
297,The Girl I Have a Crush On,frad,137483
298,After the Rain,Jordy Chandra,147000
299,Myosotis,M2U,154517
300,dreamy night,LilyPichu,245876
301,Maiden's Longing,Yu-Peng Chen,78780
302,"Moon Halo - Honkai Impact 3Rd ""Everlasting Flames"" Animated Short Theme",HOYO-MiX,204054
303,Qingce Village,Chewie Melodies,164348
304,Unspoken Words,Jordy Chandra,120000
305,Lantern Rite (Xiao's Theme),Paintamelody,111000
306,Wu Ji - Piano Ver.,Hai Lin,83600
307,Adeptus' Solace,Yu-Peng Chen,107958
308,Nightglow(instrumental),HOYO-MiX,183250
309,Snowfall,Chewie Melodies,104518
310,Do We Start to Like Each Other ?,Jordy Chandra,146616
311,Missing You (Ellinia),Paintamelody,147800
312,Strawberry Jam Sandwich,Park Bird,122914
313,Pure Sky,Yu-Peng Chen,65632
314,"Always with Me (From ""Spirited Away"") [Piano Version]",Streaming Music Studios,235710
315,Domineer,HOYO-MiX,79058
316,Winter Warmth,Jordy Chandra,87428
317,The Queen of Summer on Narukami Island (Yoimiya's Theme),Paintamelody,66951
318,Qingyun Peak Sunrise ~ Genshin Impact Lofi,SuperDope,168082
319,Vague Whispers,Yu-Peng Chen,64750
320,last cup of coffee,LilyPichu,161636
321,Wandering in Peaceful Island (From Genshin Impact Golden Apple Archipelago Game),Beside Bed,62702
322,Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,311106
323,The Homeward Heron (Ayaka's Theme),Paintamelody,98768
324,Lone Sojourner,Yu-Peng Chen,50138
325,Wangshu Inn Daytime,Chewie Melodies,94402
326,Waltzing in the Rain,Vincent Diamante,156180
327,"Dragonspine Ballad (From ""Genshin Impact - Dragonspine"" Game)",Jordy Chandra,75000
328,First Date,frad,173143
329,Thawing Lullaby,Paintamelody,66600
330,Dawn Winery Theme,Chewie Melodies,152073
331,Adeptus' Retirement,Yu-Peng Chen,58000
332,Eula's Lullaby ~ Genshin Impact Lofi,SuperDope,98048
333,Guizhong's Lullaby (Guzheng),Jordy Chandra,92160
334,Ikanaide - album ver,Eve,195146
335,Eye-Water,Hiroyuki Sawano,181413
336,Kim Mi So's Theme,Paintamelody,64920
337,Gentle Rain,Yu-Peng Chen,59500
338,Warm Sleep,Chewie Melodies,140362
339,Lost Memory,Sakuzyo,255157
340,Hope You Are Okay,Jordy Chandra,115826
341,My Castle Town,Toby Fox,127554
342,FFVII REMAKE: ティファのテーマ -セブンスヘブン- (Tifa's Theme - Seventh Heaven),Nobuo Uematsu,246640
343,Clear Sky over Liyue,Yu-Peng Chen,82927
344,Rex Incognito,Yu-Peng Chen,108827
345,Another Hopeful Tomorrow,Yu-Peng Chen,85783
346,Dragonspine Snow (LoFi),Jordy Chandra,104000
347,Warm Dream,Chewie Melodies,132523
348,The Flower Garden,Joe Hisaishi,178506
349,moonbeam.,frad,115200
350,Are You Lost,Park Bird,167436
351,Fragile Fantasy,Yu-Peng Chen,120900
352,Dragonspine Ballad (Piano Version),Jordy Chandra,75000
353,Liyue Harbor (Mellow),Chewie Melodies,95403
354,Shinkai,Eve,266308
355,Once Upon a Dream,Invadable Harmony,60413
356,Fantasy Note,HOYO-MiX,105864
357,Snow-Buried Tales,Yu-Peng Chen,91984
358,Melancholy Sunset,Jordy Chandra,135000
359,Snowflake,Chewie Melodies,75012
360,Moonlike Smile,Yu-Peng Chen,77958
361,Guizhong's Lullaby (Piano Version),Jordy Chandra,96000
362,Liyue Mountains,Chewie Melodies,145969
363,"Escapism (feat. AJ Michalka, Zach Callison & Grace Rolek)",Steven Universe,121501
364,Lament,Invadable Harmony,120884
365,Moon Halo - Instrumental,HOYO-MiX,204054
366,Tender Strength,Yu-Peng Chen,82755
367,"Dragonspine Snow (From ""Genshin Impact - Dragonspine"" Game)",Jordy Chandra,104000
368,Intertwine,Chewie Melodies,102823
369,FFVII REMAKE: エアリスのテーマ -ただいま- (Aerith's Theme - Home Again),Nobuo Uematsu,31302
370,Run Rudolph Run,Chuck Berry,10794
371,中国话,S.H.E,189300
372,異類,Hua Chen Yu,75760
373,撐腰,Show Luo,22100
374,不潮不用花錢,JJ Lin,231560
375,你的甜蜜,Mavis Fan,42943
376,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,101554
377,Moonlike Smile,Yu-Peng Chen,77958
378,Vast and Blue,Yu-Peng Chen,142934
379,Ripples of Daydream,Yu-Peng Chen,83377
380,A New Day with Hope,Yu-Peng Chen,103237
381,Snow-Buried Tales,Yu-Peng Chen,91984
382,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,199354
383,Fragile Fantasy,Yu-Peng Chen,1403
384,Hanachirusato,Yu-Peng Chen,94066
385,Fragile Fantasy,Yu-Peng Chen,580
386,Hanachirusato,Yu-Peng Chen,94066
387,Fragile Fantasy,Yu-Peng Chen,120900
388,Lovers' Oath,Yu-Peng Chen,79610
389,Another Hopeful Tomorrow,Yu-Peng Chen,85783
390,Dusk in Mondstadt,Yu-Peng Chen,108770
391,Tender Strength,Yu-Peng Chen,82755
392,Say My Name,Yu-Peng Chen,111935
393,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",Yu-Peng Chen,204268
394,Icicles,G Mills,126050
395,我的秘密 (MySecret),G.E.M.,248486
396,不潮不用花錢,JJ Lin,233506
397,芒种,音阙诗听,103506
398,不潮不用花錢,JJ Lin,10030
399,芒种,音阙诗听,216000
400,瀟灑小姐,Elva Hsiao,223106
401,[Yicheng Group] Gu Cheng,Krystal Chan,232941
402,Super Power,徐艺洋,189054
403,Ring Ring Ring,S.H.E,228653
404,學貓叫(Remix版),小潘潘,216990
405,未接來電,莫宰羊,238006
406,会不会再见,徐艺洋,199897
407,I Miss You,Joyce Chu,158160
408,時候,Sue,247139
409,You Have Me,China songs,223375
410,心如止水,Ice Paper,243750
411,異類,Hua Chen Yu,208013
412,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,195744
413,无题 - 网剧《山河令》插曲,Hu Xia,278868
414,黃昏,Steve Chou,33388
415,黃昏,Steve Chou,310821
416,學貓叫 - 電影《下一任:前任》片尾曲,小潘潘,209218
417,Honey,Cyndi Wang,214386
418,Wu Ji - Piano Ver.,Hai Lin,83600
419,愛是,連淮偉,197045
420,我很快樂,Eric Chou,296987
421,Turn Back Time,WayV,218680
422,喜欢你,Kit Chan,265906
423,過 (Should've Let Go),Jackson Wang,203786
424,贰叁,吴亦凡,320618
425,中国话,S.H.E,194026
426,Say Yes,徐紫茵,1090
427,Yume To Hazakura - Chinese,NSZX,53072
428,不得不愛,Will Pan,810
429,天赋,唐嫣,3220
430,是想你的聲音啊,傲七爺,1730
431,約定 - 2016 Live Version,Michael Wong,1100
432,Ten Years of Hits - Mandarin Version,黃冠筑,2090
433,老鼠愛大米,Twins,2103
434,Miracle,高瀚宇,1850
435,一翦梅,Fei Yu-ching,920
436,四季予你,Baozhai Mezhong,1520
437,SING-Moonlight Thoughts,SING女團,231446
438,Come Back My Love,安唯綾,1050
439,青花瓷,Jay Chou,1040
440,Come Back My Love,安唯綾,5093
441,青花瓷,Jay Chou,237346
442,[Theme Song] Wu Ji - Chorus Edition,Xiao Zhan,5970
443,たぶん,YOASOBI,258666
444,All Alone With You,EGOIST,103474
445,Manta,Vincent Diamante,2197
446,Legend of Redemption,Yu-Peng Chen,27997
447,Another Hopeful Tomorrow,Yu-Peng Chen,85783
448,颗粒季,希林娜依•高,3980
449,天赋,唐嫣,277469
450,黃昏,Steve Chou,344200
451,阿楚姑娘,TIA RAY,248828
452,Never Stop,China songs,211022
453,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,33328
454,約定 - 2016 Live Version,Michael Wong,5150
455,小幸運,Hebe Tien,183790
456,I Miss You,Joyce Chu,126640
457,Honey,Cyndi Wang,129020
458,[Theme Song] Wu Ji - Chorus Edition,Xiao Zhan,105190
459,不得不愛,Will Pan,41860
460,阿楚姑娘,TIA RAY,6720
461,Super Power,徐艺洋,9030
462,Turn Back Time,WayV,79100
463,Moonlike Smile,Yu-Peng Chen,160930
464,River Flows In You,Yiruma,1480
465,Kiss The Rain,Yiruma,75980
466,Unfinished Frescoes,Yu-Peng Chen,9940
467,"Always with Me (From ""Spirited Away"") [Piano Version]",Streaming Music Studios,4480
468,Snow-Buried Tales,Yu-Peng Chen,81080
469,Snow-Buried Tales,Yu-Peng Chen,5520
470,Once-Colored Memories,Yu-Peng Chen,42020
471,Once-Colored Memories,Yu-Peng Chen,1270
472,Remembrance - Genshin Impact Main Theme Var.,Yu-Peng Chen,3170
473,Unfinished Frescoes,Yu-Peng Chen,8050
474,Lovers' Oath,Yu-Peng Chen,3440
475,Tender Strength,Yu-Peng Chen,3280
476,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,3180
477,A New Day with Hope,Yu-Peng Chen,79950
478,Innocent Age,Yu-Peng Chen,5890
479,Fragile Fantasy,Yu-Peng Chen,6120
480,Ripples of Daydream,Yu-Peng Chen,6480
481,Mesmerizing Waves,Yu-Peng Chen,18840
482,Lovers' Oath,Yu-Peng Chen,4510
483,In Stories of Fading Light,Yu-Peng Chen,163540
484,Another Hopeful Tomorrow,Yu-Peng Chen,11629
485,In Stories of Fading Light,Yu-Peng Chen,260281
486,Another Hopeful Tomorrow,Yu-Peng Chen,308
487,In Stories of Fading Light,Yu-Peng Chen,20608
488,Another Hopeful Tomorrow,Yu-Peng Chen,46481
489,In Stories of Fading Light,Yu-Peng Chen,65426
490,Another Hopeful Tomorrow,Yu-Peng Chen,1583
491,In Stories of Fading Light,Yu-Peng Chen,19474
492,In Stories of Fading Light,Yu-Peng Chen,25789
493,Another Hopeful Tomorrow,Yu-Peng Chen,490
494,Another Hopeful Tomorrow,Yu-Peng Chen,5345
495,"Not Spring, Love, or Cherry Blossoms",HIGH4,115669
496,Manta,Lexie Liu,27392
497,那女孩對我說,Rachel Liang,6485
498,中国话,S.H.E,194026
499,異類,Hua Chen Yu,208013
500,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,195744
501,愛是,連淮偉,197045
502,戀愛三分甜,張紫寧(Winnie),23379
503,我要变好看,周思涵,2346
504,You Have Me,China songs,223375
505,飞鸟和蝉,Ren Ran,1535
506,講個笑話,Baozhai Mezhong,1151
507,講個笑話,Baozhai Mezhong,6975
508,Come Back My Love,安唯綾,725
509,Come Back My Love,安唯綾,810
510,告白氣球,Jay Chou,1536
511,安靜,Jay Chou,469
512,告白氣球,Jay Chou,215146
513,安靜,Jay Chou,29963
514,不得不愛,Will Pan,281413
515,无题 - 网剧《山河令》插曲,Hu Xia,278868
516,Downwind,China songs,221216
517,会不会再见,徐艺洋,82921
518,Path of Yaksha,HOYO-MiX,40981
519,Bard's Adventure,Yu-Peng Chen,107012
520,"Let's Go, Crimson Knight!",Yu-Peng Chen,91499
521,Where the Sunlight Flees,Yu-Peng Chen,57252
522,Flaming Fry,Yu-Peng Chen,58913
523,Ouvertüre der ewigen Nacht,Yu-Peng Chen,27060
524,"Sieh an, mein Sommernachtgarten!",Yu-Peng Chen,3349
525,Surge of Prophecies,Yu-Peng Chen,5674
526,Preserver of Fortune,Yu-Peng Chen,53248
527,Letter From Ajax,Yu-Peng Chen,93259
528,From Snezhnaya With Boldness,Yu-Peng Chen,88885
529,Exclusive Specialty,Yu-Peng Chen,61334
530,Rockin' With Fire,Yu-Peng Chen,61503
531,Nimble as Lightning,Yu-Peng Chen,59428
532,Contemplation in Snow,Yu-Peng Chen,122864
533,Genius of Takwin,Yu-Peng Chen,100369
534,Qilin's Prance,Yu-Peng Chen,100519
535,Rex Incognito,Yu-Peng Chen,108827
536,Relaxation in Liyue,Yu-Peng Chen,26005
537,Path of Yaksha,HOYO-MiX,107329
538,Broker Betwixt Life and Death,HOYO-MiX,86933
539,Any Last Words?,HOYO-MiX,92968
540,Shadow of Nemesis,HOYO-MiX,57984
541,Marching of Xiezhi,HOYO-MiX,61994
542,The Frozen Emblem,HOYO-MiX,122991
543,Dance of Aphros,HOYO-MiX,109499
544,Iridescent Summer Day,HOYO-MiX,68983
545,Drifter's Destiny,HOYO-MiX,100980
546,Flow of Autumn Wind,HOYO-MiX,116473
547,Shirasagi Princess,HOYO-MiX,29358
548,Celebrity,IU,346247
549,Anti-Romantic,TOMORROW X TOGETHER,120013
550,ONLY,LeeHi,3640
551,Psycho,Red Velvet,15030
552,Celebrity,IU,81440
553,Anti-Romantic,TOMORROW X TOGETHER,1314
554,Celebrity,IU,195546
555,Celebrity,IU,70830
556,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,195744
557,我的秘密 (MySecret),G.E.M.,248486
558,Ten Years of Hits - Mandarin Version,黃冠筑,273750
559,講個笑話,Baozhai Mezhong,201384
560,異類,Hua Chen Yu,5457
561,中国话,S.H.E,194026
562,Celebrity,IU,469686
563,Anti-Romantic,TOMORROW X TOGETHER,4353
564,大碗宽面,吴亦凡,490
565,髮如雪,Jay Chou,618
566,告白氣球,Jay Chou,725
567,无题 - 网剧《山河令》插曲,Hu Xia,2048
568,When I Was Eighteen,China songs,182508
569,[Yicheng Group] Gu Cheng,Krystal Chan,232941
570,安靜,Jay Chou,85864
571,飞鸟和蝉,Ren Ran,1450
572,時候,Sue,703
573,童話,Michael Wong,832
574,未接來電,莫宰羊,1728
575,SING-Moonlight Thoughts,SING女團,96576
576,那些年,Hu Xia,79765
577,那女孩對我說,Rachel Liang,264341
578,那女孩對我說,Rachel Liang,554
579,飞鸟和蝉,Ren Ran,296006
580,喜欢你,Kit Chan,265906
581,颗粒季,希林娜依•高,269268
582,黃昏,Steve Chou,344200
583,Never Stop,China songs,211022
584,告白氣球,Jay Chou,215146
585,安靜,Jay Chou,334240
586,愛是,連淮偉,197045
587,冰激凌,Z.TAO,228311
588,青花瓷,Jay Chou,704
589,Say Yes,徐紫茵,1088
590,瀟灑小姐,Elva Hsiao,14788
591,无题 - 网剧《山河令》插曲,Hu Xia,767
592,青花瓷,Jay Chou,237346
593,Say Yes,徐紫茵,234269
594,小幸運,Hebe Tien,265521
595,不得不愛,Will Pan,143239
596,心如止水,Ice Paper,1408
597,Super Power,徐艺洋,189054
598,過 (Should've Let Go),Jackson Wang,22349
599,123我爱你,新乐尘符,199530
600,那女孩對我說,Rachel Liang,192417
601,那女孩對我說,Rachel Liang,76730
602,大碗宽面,吴亦凡,221495
603,Ring Ring Ring,S.H.E,228653
604,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,320165
605,講個笑話,Baozhai Mezhong,201384
606,未接來電,莫宰羊,238006
607,是想你的聲音啊,傲七爺,234811
608,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,195744
609,Wu Ji - Piano Ver.,Hai Lin,5728
610,I Miss You,Joyce Chu,158160
611,Downwind,China songs,221216
612,Ten Years of Hits - Mandarin Version,黃冠筑,273750
613,[Yicheng Group] Gu Cheng,Krystal Chan,232941
614,多想在平庸的生活擁抱你,Baozhai Mezhong,269936
615,我的秘密 (MySecret),G.E.M.,3180
616,皮埃罗,徐艺洋,109290
617,皮埃罗,徐艺洋,810
618,Come Back My Love,安唯綾,1173
619,髮如雪,Jay Chou,1813
620,阿楚姑娘,TIA RAY,134549
621,天若有情 - 電視劇「錦繡未央」主題曲,A-Lin,1258
622,咖啡 (LH x KW),Lu Han,2986
623,Yume To Hazakura - Chinese,NSZX,832
624,Turn Back Time,WayV,3882
625,会不会再见,徐艺洋,199897
626,Honey,Cyndi Wang,60210
627,我要变好看,周思涵,3541
628,老鼠愛大米,Twins,1471
629,芒种,音阙诗听,2154
630,笑看江湖 - 网剧《山河令》江湖推广曲,满舒克,12873
631,When I Was Eighteen,China songs,182508
632,万有引力,F*yy,28842
633,You Have Me,China songs,300517
634,Miracle,高瀚宇,107153
635,異類,Hua Chen Yu,208013
636,四季予你,Baozhai Mezhong,38526
637,學貓叫,小潘潘,209218
638,贰叁,吴亦凡,320618
639,一翦梅,Fei Yu-ching,234866
640,大魚 - 唱片版,周深,317597
641,[Wen Qing] woodland,Gao Qiuzi,233863
642,學貓叫(Remix版),小潘潘,2807
643,那些年,Hu Xia,369866
644,童話,Michael Wong,12044
645,SING-Moonlight Thoughts,SING女團,231446
646,有点甜,Silence Wang,235200
647,[Xue Yang] Huang Cheng Du,周深,259178
648,中国话,S.H.E,194026
649,Wanan,齐悦,22520
650,[Theme Song] Wu Ji - Chorus Edition,Xiao Zhan,9770
651,A Love Song For You,汪睿,4522
652,"Maiden's Longing (From ""Genshin Impact"") - [Orchestral Version]",Yu-Peng Chen,21952
653,"Forsaken Child of Ancient Times (Dvanil's Nest) [From ""Genshin Impact""] [Medieval Style]",Yu-Peng Chen,6101
654,"Dream Aria (Main Theme Var. From ""Genshin Impact"") [Orchestral Version]",Yu-Peng Chen,35306
655,"Liyue Battle Theme III (From ""Genshin Impact"") [Medieval Style]",Yu-Peng Chen,14400
656,"Rex Incognito (From ""Genshin Impact"") [Orchestral Version]",Yu-Peng Chen,64810
657,"Caelestinum Finale Termini (From ""Genshin Impact"") - Symphonic Metal Version",Yu-Peng Chen,22357
658,"Qilin's Prance (From ""Genshin Impact"") [Orchestral Version]",Yu-Peng Chen,14506
659,"Lovers' Oath: Guizhong's Lullaby (From ""Genshin Impact"") - [Vocal Version]",Yu-Peng Chen,27029
660,Path of Yaksha,HOYO-MiX,74581
661,Any Last Words?,HOYO-MiX,1408
662,Broker Betwixt Life and Death,HOYO-MiX,13951
663,Broker Betwixt Life and Death,HOYO-MiX,86933
664,Any Last Words?,HOYO-MiX,92968
665,Shadow of Nemesis,HOYO-MiX,22124
666,Let Me Alone,moow,20800
667,The Girl I Have a Crush On,frad,21290
668,blossoms,frad,18180
669,Home,Park Hyo Shin,32290
670,Home,Park Hyo Shin,2700
671,Tender Strength,Yu-Peng Chen,82755
672,Tender Strength,Yu-Peng Chen,82755
673,Tender Strength,Yu-Peng Chen,82755
674,Tender Strength,Yu-Peng Chen,82755
675,Tender Strength,Yu-Peng Chen,82755
676,Tender Strength,Yu-Peng Chen,82755
677,Tender Strength,Yu-Peng Chen,82755
678,Tender Strength,Yu-Peng Chen,82755
679,Tender Strength,Yu-Peng Chen,82755
680,Tender Strength,Yu-Peng Chen,82755
681,Tender Strength,Yu-Peng Chen,82755
682,Tender Strength,Yu-Peng Chen,82755
683,Tender Strength,Yu-Peng Chen,82755
684,Tender Strength,Yu-Peng Chen,62167
685,"我多喜歡你,你會知道(網劇<致我們單純的小美好>推廣曲)",Wang Jun Qi,16210
686,Hanachirusato,Yu-Peng Chen,94066
687,A New Day with Hope,Yu-Peng Chen,103237
688,A Transparent Moon (Liuli Pavilion),Yu-Peng Chen,58286
689,Moonlike Smile,Yu-Peng Chen,77958
690,Lovers' Oath,Yu-Peng Chen,79610
691,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,101554
692,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,92845
693,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,21740
694,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,30020
695,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,25623
696,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,22186
697,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,51780
698,颗粒季,希林娜依•高,3100
699,Miracle,高瀚宇,960
700,When I Was Eighteen,China songs,182508
701,我要变好看,周思涵,200531
702,Come Back My Love,安唯綾,231392
703,万有引力,F*yy,243783
704,青花瓷,Jay Chou,237346
705,告白氣球,Jay Chou,215146
706,SING-Moonlight Thoughts,SING女團,231446
707,Super Power,徐艺洋,189054
708,我的秘密 (MySecret),G.E.M.,248486
709,[Wen Qing] woodland,Gao Qiuzi,233863
710,飞鸟和蝉,Ren Ran,296006
711,黃昏,Steve Chou,52721
712,"一起走的幸福 (電視劇《親愛的, 熱愛的》插曲)",段奧娟,9220
713,學貓叫,小潘潘,1310
714,颗粒季,希林娜依•高,15520
715,學貓叫(Remix版),小潘潘,50790
716,喜欢你,Kit Chan,150
